SYMBOL,29 jan 2020,30 jan 2020,31 jan 2020
20MICRONS,1.2999992,1.9000015,1.1499977,
21STCENMGM,0.40000057,0.0,0.0,
3IINFOTECH,0.1500001,0.099999905,0.099999905,
3MINDIA,532.7988,398.8496,2251.9004,
3PLAND,0.5999999,0.0,0.7000003,
5PAISA,21.0,8.300003,8.350006,
63MOONS,3.699997,4.1500015,4.699997,
762GS2039,0.0,0.0,0.0,
A2ZINFRA,0.099999905,0.25,0.0,
AAKASH,0.5,0.0,1.0999999,
AARON,0.0,0.0,5.0999985,
AARTIDRUGS,33.799988,18.650024,18.0,
AARTIIND,90.70001,51.0,48.0,
AARVEEDEN,0.8000002,0.39999962,1.0999994,
AAVAS,45.849976,56.0,0.0,
ABAN,0.95000076,0.8999996,54.0,
ABB,24.150024,23.849976,0.95000076,
ABBOTINDIA,108.84961,190.2002,54.0,
ABCAPITAL,3.3499985,4.199997,159.90039,
ABFRL,4.899994,5.400009,4.5,
ABSLBANETF,0.0,0.0,7.599991,
ACC,28.800049,2.3700256,0.0,
ACCELYA,50.900024,31.050049,20.299988,
ACE,2.7000046,44.94995,0.0,
ADANIENT,7.350006,1.2000008,4.4000244,
ADANIGAS,5.949997,0.0,0.0,
ADANIGREEN,5.949997,2.2999954,52.0,
ADANIPORTS,14.0,4.550003,33.0,
ADANIPOWER,1.25,5.599991,0.049999237,
ADANITRANS,8.049988,10.25,1.9000015,
ADFFOODS,7.0,6.850006,7.400009,
ADHUNIKIND,1.7999992,1.9500008,5.300003,
ADLABS,0.25,9.850006,12.599991,
ADORWELD,10.0,8.0,13.299988,
ADROITINFO,0.5,1.7999992,2.7000008,
ADSL,0.15000153,0.25,15.549988,
ADVANIHOTR,4.049999,10.699982,7.0500183,
ADVENZYMES,3.199997,0.3000002,2.75,
AEGISCHEM,3.699997,1.9500008,0.25000024,
AFFLE,119.05005,5.1499977,6.399994,
AGARIND,4.0,6.599991,0.6000004,
AGCNET,0.0,4.25,2.1500015,
AGRITECH,1.5,85.0,6.800003,
AGROPHOS,0.0,6.300003,5.0,
AHLEAST,5.449997,14.449997,6.399994,
AHLUCONT,10.600006,1.8500023,69.900024,
AHLWEST,19.899994,0.0,3.5,
AIAENG,107.04993,0.0,22.949997,
AIONJSW,0.6000004,7.25,1.6499977,
AIRAN,1.1999998,9.600006,0.0,
AJANTPHARM,36.75,29.899994,4.299999,
AJMERA,3.75,59.69995,5.0,
AKASH,6.5,0.75,19.899994,
AKSHARCHEM,5.5,0.6000004,12.700012,
AKSHOPTFBR,0.5500002,0.049999237,82.75,
AKZOINDIA,129.1001,61.700073,0.8000002,
ALANKIT,0.4499998,6.350006,1.1499996,
ALBERTDAVD,21.200012,0.099999905,34.0,
ALBK,0.34999847,6.0,5.0,
ALCHEM,0.100000024,31.0,7.8499985,
ALEMBICLTD,6.3499985,0.4499998,16.050003,
ALICON,24.299988,79.6001,0.35000038,
ALKALI,9.299999,1.0,61.650024,
ALKEM,96.8501,28.649994,0.95000076,
ALKYLAMINE,32.900024,0.5999985,27.899994,
ALLCARGO,3.5999985,0.099999905,0.95000076,
ALLSEC,6.299988,3.2000008,0.100000024,
ALMONDZ,0.75,31.75,5.25,
ALOKTEXT,0.25,5.25,13.700012,
ALPA,1.2999992,37.25,3.3499985,
ALPHAGEO,13.850006,38.900024,119.25,
ALPSINDUS,0.049999952,4.9000015,33.69995,
AMARAJABAT,12.0,8.600006,4.0,
AMBER,107.0,1.250001,17.899994,
AMBIKCO,16.450012,0.14999986,0.8500004,
AMBUJACEM,5.0,2.1500015,2.0500011,
AMDIND,2.7999992,17.0,11.699997,
AMJLAND,1.4000015,0.100000024,0.099999905,
AMRUTANJAN,18.649994,24.75,27.5,
ANANTRAJ,0.79999924,69.400024,135.0,
ANDHRABANK,0.14999962,18.650024,11.650024,
ANDHRACEMT,0.1500001,5.5,8.25,
ANDHRSUGAR,17.049988,1.8500004,1.5499992,
ANDPAPER,11.0,3.8999996,3.3500004,
ANIKINDS,1.0,17.949982,12.0,
ANKITMETAL,0.099999994,1.3500023,2.0,
ANSALAPI,0.20000029,0.29999924,1.0500011,
ANSALHSG,0.4000001,0.099999905,0.099999905,
ANTGRAPHIC,0.049999952,11.950012,10.600006,
ANUP,48.099976,21.799988,12.600006,
APARINDS,6.450012,0.75,0.5500002,
APCL,7.800003,0.050000012,0.099999994,
APCOTEXIND,5.399994,0.19999981,0.3499999,
APEX,11.700012,0.25,0.25,
APLAPOLLO,32.5,0.049999952,0.049999952,
APLLTD,13.950012,18.0,27.799988,
APOLLO,3.6500015,10.950012,12.75,
APOLLOHOSP,23.899902,10.299988,11.0,
APOLLOPIPE,18.0,6.75,8.25,
APOLLOTYRE,2.300003,35.649994,30.0,
APOLSINHOT,11.0,75.50012,78.69995,
APTECHT,35.300003,21.349976,16.450012,
ARCHIDPLY,1.8500023,4.050003,5.0,
ARCHIES,0.45000076,29.5,42.80005,
ARCOTECH,0.20000005,19.450012,15.0,
ARIES,1.800003,5.399994,6.800003,
ARIHANT,0.8500004,21.849976,15.0,
ARIHANTSUP,2.1999989,7.449997,5.5,
ARMANFIN,18.450012,1.3999996,2.4500008,
AROGRANITE,2.0,0.70000076,0.45000076,
ARROWGREEN,1.25,0.100000024,0.100000024,
ARROWTEX,0.19999981,0.45000076,0.0,
ARSHIYA,1.1499996,2.4500046,2.199997,
ARSSINFRA,1.0499992,1.1499996,1.0,
ARTEMISMED,0.0,0.95000076,1.3500004,
ARVIND,0.79999924,47.599976,20.0,
ARVINDFASN,8.0,2.1500015,2.3500023,
ARVSMART,2.949997,2.0999985,2.4000015,
ASAHIINDIA,6.149994,0.20000076,0.4499998,
ASAHISONG,6.850006,0.5,0.39999962,
ASAL,0.8500023,0.8500004,1.1000004,
ASCOM,0.40000153,0.0,9.950012,
ASHAPURMIN,2.1000023,1.4500008,2.1500015,
ASHIANA,4.6500015,11.450012,10.0,
ASHIMASYN,0.5499997,15.050003,5.800003,
ASHOKA,2.7000046,5.649994,12.799988,
ASHOKLEY,1.2999954,18.899994,9.899994,
ASIANHOTNR,5.949997,1.1000023,1.2499981,
ASIANPAINT,22.849976,1.3500023,0.0,
ASIANTILES,8.0,2.800003,1.9500008,
ASPINWALL,11.0,0.3000002,3.949997,
ASTEC,15.299988,2.75,0.75,
ASTERDM,6.899994,2.699997,3.4000015,
ASTRAL,68.94995,5.9000015,2.4000015,
ASTRAMICRO,9.0,22.900024,3.0,
ASTRAZEN,83.69995,12.75,35.30005,
ASTRON,1.0999985,7.449997,6.149994,
ATFL,23.5,17.850006,9.899994,
ATLANTA,0.3000002,4.0,32.100006,
ATLASCYCLE,2.0,20.0,5.800003,
ATUL,136.2998,7.25,50.0,
ATULAUTO,13.5,57.19995,4.1500015,
AUBANK,36.0,1.0,119.0,
AURIONPRO,2.25,33.950012,1.800003,
AUROPHARMA,7.899994,0.3499999,39.950012,
AUSOMENT,3.5,3.5,0.3000002,
AUTOAXLES,19.799988,78.3999,2.75,
AUTOIND,0.70000076,8.850006,101.1499,
AUTOLITIND,2.3500004,52.849976,9.25,
AVADHSUGAR,16.350006,1.8499985,33.900024,
AVANTIFEED,17.800049,43.799988,1.25,
AVG,0.0,1.5,9.899994,
AVROIND,0.0,40.0,3.7000008,
AVTNPL,1.75,2.4500008,44.950012,
AXISBANK,11.950012,2.75,0.8999996,
AXISCADES,5.9000015,11.099976,1.2999992,
AXISGOLD,36.649902,26.0,9.399994,
AXISNIFTY,13.589966,1.0,25.950012,
AYMSYNTEX,2.0499992,2.2000008,2.25,
BAGFILMS,0.100000024,9.100037,2.0499992,
BAJAJ-AUTO,39.0,4.949997,12.049988,
BAJAJCON,6.0,37.0,3.7000008,
BAJAJELEC,11.350006,11.430054,48.0,
BAJAJFINSV,280.0,1.7000008,19.650024,
BAJAJHIND,0.2999997,0.0,2.8500023,
BAJAJHLDNG,168.0,0.100000024,0.100000024,
BAJFINANCE,228.8999,143.8999,89.94995,
BALAJITELE,3.2999992,3.0,9.25,
BALAMINES,13.25,7.700012,10.899994,
BALAXI,9.099998,346.6504,298.0,
BALKRISHNA,0.54999924,0.19999981,0.25,
BALKRISIND,27.199951,126.30005,150.0,
BALLARPUR,0.050000012,140.1499,86.30029,
BALMLAWRIE,7.0999985,3.0499992,2.5499992,
BALPHARMA,2.9000015,46.299988,46.899994,
BALRAMCHIN,7.400009,8.25,12.849998,
BANARBEADS,1.6500015,1.6000004,1.5499992,
BANARISUG,51.55005,19.949951,35.25,
BANCOINDIA,1.8499985,0.050000012,0.099999964,
BANDHANBNK,20.75,1.5,2.6500015,
BANG,1.8000011,2.75,2.0,
BANKBARODA,0.8499985,7.649994,6.099991,
BANKBEES,2.350006,3.7999992,3.5,
BANKINDIA,1.0,88.0,67.69995,
BANSWRAS,7.199997,2.300003,2.949997,
BARTRONICS,0.0,16.100006,13.75,
BASF,24.849976,1.4500008,2.5500011,
BASML,11.899994,0.0,1.699997,
BATAINDIA,38.0,1.550003,3.850006,
BAYERCROP,60.0,3.600006,3.7999954,
BBL,10.0,1.199997,7.449997,
BBTC,33.650024,8.349998,0.049999952,
BCG,0.39999962,0.049999952,16.0,
BCP,1.5,25.950012,1.949997,
BDL,14.950012,4.449997,45.150024,
BEARDSELL,0.6499996,35.0,47.5,
BEDMUTHA,0.6999998,48.899902,39.700012,
BEL,1.4500046,23.049988,33.849976,
BEML,14.799988,56.549927,0.0,
BEPL,2.8500023,0.5,0.0,
BERGEPAINT,14.099976,0.0,2.0,
BETA,4.25,0.70000076,13.25,
BFINVEST,8.399994,11.899994,0.6499996,
BFUTILITIE,20.149994,0.6999998,0.14999962,
BGLOBAL,0.0,0.10000038,9.099998,
BGRENERGY,3.0999985,3.149994,23.849976,
BHAGERIA,3.899994,16.799988,2.4000015,
BHAGYANGR,1.1500015,2.3499985,17.0,
BHAGYAPROP,0.95000076,16.25,1.3499985,
BHANDARI,0.100000024,7.750004,5.799988,
BHARATFORG,12.900024,11.799988,10.700012,
BHARATGEAR,2.5999985,12.899994,0.100000024,
BHARATRAS,236.0,0.05000007,1.800003,
BHARATWIRE,1.8500004,1.7000008,4.0,
BHARTIARTL,13.149994,8.400002,2.0,
BHEL,1.5,0.8999996,0.45000076,
BIGBLOC,0.25,3.5,0.100000024,
BIL,10.449997,0.100000024,15.75,
BILENERGY,0.050000012,16.799988,4.3499985,
BINDALAGRO,1.3500004,5.6499977,88.299805,
BIOCON,14.899994,58.0,1.1499996,
BIOFILCHEM,0.8499994,1.25,12.399994,
BIRLACABLE,1.5999985,12.799988,2.5499992,
BIRLACORPN,42.0,1.4500008,0.5,
BIRLAMONEY,0.9000015,0.25,6.899994,
BKMINDST,0.050000012,10.300003,0.099999964,
BLBLIMITED,0.4000001,0.050000012,1.0500002,
BLISSGVS,2.350006,0.8499994,8.100006,
BLKASHYAP,0.34999943,6.799988,0.39999962,
BLS,2.199997,1.1000004,2.6500015,
BLUEBLENDS,0.050000012,1.8499985,52.099976,
BLUEDART,182.0,25.75,1.5999985,
BLUESTARCO,55.5,1.25,0.050000012,
BODALCHEM,1.5999985,0.050000012,0.3499999,
BOHRA,0.0,0.2999997,5.349991,
BOMDYEING,7.2000046,2.0999908,0.15000057,
BOROSIL,6.300003,0.45000076,1.9500046,
BOSCHLTD,221.5,2.199997,0.0,
BPCL,10.25,0.050000012,137.30005,
BPL,0.5,98.0,27.900024,
BRFL,0.25,21.900024,1.800003,
BRIGADE,7.0,1.75,5.7999954,
BRITANNIA,55.44995,0.0,6.899994,
BRITANNIA,0.3199997,5.550003,510.0,
BRNL,5.4000015,6.350006,16.550018,
BROOKS,2.6500015,545.0,1.0,
BSE,8.700012,19.350006,0.1500001,
BSELINFRA,0.05000007,1.8500004,19.449997,
BSHSL,2.5,0.20000005,87.75,
BSL,2.3500023,7.849991,0.38000107,
BSLGOLDETF,94.69995,42.25,2.449997,
BSOFT,1.199997,0.3899994,3.0499992,
BURNPUR,0.100000024,5.199997,8.400024,
BUTTERFLY,13.0,8.650002,0.5,
BVCL,0.19999981,11.849976,1.0499992,
BYKE,1.3999996,0.05000007,88.0,
CADILAHC,4.850006,2.0999985,0.9700012,
CADSYS,0.0,1.75,15.550003,
CALSOFT,1.0500002,110.0,0.100000024,
CAMLINFINE,4.5999985,0.69000244,32.399994,
CANBK,4.349991,2.7000046,1.3999996,
CANDC,0.20000005,0.049999952,9.0,
CANFINHOME,23.149994,13.050003,0.75,
CANTABIL,8.550018,0.8500004,4.2999954,
CAPACITE,5.599991,1.1499996,4.950012,
CAPLIPOINT,7.0,8.100006,0.20000005,
CAPTRUST,12.949997,1.0,11.649994,
CARBORUNIV,7.899994,3.0999985,11.600006,
CAREERP,4.9000015,4.550003,4.25,
CARERATING,16.900024,0.0,11.75,
CASTEXTECH,0.050000012,9.700012,6.599991,
CASTROLIND,3.0999908,15.899994,9.700012,
CCHHL,0.20000005,2.5,5.75,
CCL,19.649994,9.950012,12.0,
CDSL,5.799988,9.5,0.099999994,
CEATLTD,13.799988,13.300018,5.649994,
CEBBCO,0.8999996,4.7999954,0.20000005,
CELEBRITY,0.25,16.400024,10.299988,
CELESTIAL,0.05000019,0.099999994,7.700012,
CENTENKA,6.449997,6.550003,23.0,
CENTEXT,0.1500001,0.20000005,0.8000002,
CENTRALBK,1.0,14.399994,0.3499999,
CENTRUM,1.2999992,6.0500183,0.20000005,
CENTUM,19.450012,28.799988,5.5,
CENTURYPLY,3.399994,0.6499996,0.14999986,
CENTURYTEX,22.450012,0.2999997,1.7999992,
CERA,19.5,0.10000014,2.6000004,
CEREBRAINT,0.0,8.299988,19.599976,
CESC,11.600037,0.20000005,3.75,
CESCVENT,9.050018,0.8999996,43.600037,
CGCL,6.849991,3.2999992,49.899902,
CGPOWER,0.5,13.75,0.0,
CHALET,6.049988,2.800003,17.400024,
CHAMBLFERT,6.649994,15.099976,18.850006,
CHEMBOND,12.449997,64.80005,6.850006,
CHEMFAB,9.800003,0.0,0.5,
CHENNPETRO,6.0,26.150024,9.950012,
CHOLAFIN,9.75,23.200012,6.800003,
CHOLAHLDNG,22.950012,14.299988,15.449997,
CHROMATIC,0.100000024,0.79999924,11.899994,
CIGNITITEC,8.899994,16.0,8.600006,
CIMMCO,1.75,11.25,10.049988,
CINELINE,1.5,20.949997,7.949951,
CINEVISTA,0.39999962,9.550003,0.0,
CIPLA,7.049988,6.75,9.899994,
CKFSL,0.049999982,5.5,3.0,
CLEDUCATE,4.5499954,19.25,1.7999992,
CLNINDIA,8.25,0.099999964,0.6500001,
CMICABLES,2.6000023,3.5,11.850006,
CMMIPL,0.0,1.5,0.050000012,
CNOVAPETRO,0.4000001,1.5,2.4000015,
COALINDIA,5.0,0.3499999,12.900024,
COCHINSHIP,15.949982,14.649994,2.0499992,
COFFEEDAY,2.5,0.050000012,0.0,
COLPAL,22.75,3.0,0.0,
COMPINFO,1.8999996,17.450012,9.449997,
COMPUSOFT,0.20000029,1.5499992,16.75,
